DISTNAME,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT22R,DA0912DR22R,DAGC4X22R,DAGC5X21R,DAGC6X20R,DA0GR22N,DA0GS22N,DDA00A001S23R,DDA00A001223R,DDA00A001323R,DDA00AR01S23R,DDA00AR01223R,DDA00AR01323R,DDA00AM01S23R,DDA00AM01223R,DDA00AM01323R,DDA00AC01S23R,DDA00AC01223R,DDA00AC01323R,DDA00AS01S23R,DDA00AS01223R,DDA00AS01323R,DDB00A001S23R,DDB00A001223R,DDB00A001323R,DDH00A001S23R,DDH00A001223R,DDH00A001323R,DDW00A001S23R,DDW00A001223R,DDW00A001323R,DDI00A001S23R,DDI00A001223R,DDI00A001323R,DD300A001S23R,DD300A001223R,DD300A001323R,DD400A001S23R,DD400A001223R,DD400A001323R,DD200A001S23R,DD200A001223R,DD200A001323R,DDE00A001S23R,DDE00A001223R,DDE00A001323R,DA0CT22R,DA0CC22R,dA0csa22r,dA0caa22r,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
BELLVILLE ISD,008901,008 AUSTIN,06,5,2243,7,31.4,57.6,0.2,0.4,0.1,3.3,46.9,10,13.2,9.9,26.9,10.8,94.9,0,100,99.4,98.2,166,157,79,50,18,80,55,21,77,46,17,76,41,10,85,58,27,45,15,2,73,39,11,87,61,24,70,40,20,100,82,45,,,,74,50,20,68,35,10,36.7,55.7,1078,24.7,343.7,169.1,1.6,3.1,9,49.2,11.1,26.1,112259,83831,65343,54309,19.2,6.5,13.3,30.1,12.6,14.4,22.3,1.8,5.3,91.7,0,0,0,1.2,85.2,6.7,0,0.1,5.4,2.7,709646,1.135,33792597,15423,29280569,20.5,57.4,22.1,4512028,12607973,0,34037835,25250569,11525,55.2,6.5,4.9,11,22.4,13946402,6365,37.8,14.8,5.4,0.6,4.7,0.2,3,0,0.3,29.2,"1,600 to 2,999",Independent Town,"$640,713 to < $711,268",$1.0600 to under $1.1800
SEALY ISD,008902,008 AUSTIN,06,4,2902,8.1,54,33.3,0.2,1,0.2,3.2,64.9,19.1,15.5,19.5,29.8,5,93.1,1,98.1,96.8,98.5,210,166,78,47,16,76,49,16,77,43,15,83,48,13,83,53,26,63,29,6,75,41,11,86,61,26,86,57,43,79,44,15,-1,-1,-1,74,53,16,73,39,10,57.6,38,1024,21.4,379.3,201.9,1.8,4.7,7.9,53.2,11,21.3,105352,74434,65303,55795,27.9,7.7,14.4,33.9,11.6,14.6,19.7,5,18.1,76.3,0,0,0,0.7,62.9,14.7,2,9.8,5.7,4.9,580946,1.216,37502029,13327,33025936,31.9,49.8,18.3,4476093,4500000,0,36126984,31636977,11243,54.3,7,5,12.9,20.8,17178410,6105,39.8,13.9,6.5,0.7,4.2,0.3,3,0,0,29.1,"1,600 to 2,999",Independent Town,"$574,353 to < $604,829",$1.1800 to under $1.3001
BRAZOS ISD,008903,008 AUSTIN,06,3,848,5.3,56.6,33.8,0,0.2,0.1,3.9,62.7,17.3,14.7,15.6,30.4,4.2,95.2,1.4,96.6,100,100,59,57,81,53,16,81,58,16,79,48,14,85,51,18,83,56,21,65,39,6,78,49,13,86,60,21,,,,-1,-1,-1,-1,-1,-1,93,60,22,74,45,10,42.4,36,1058,-1,134.7,63.6,2.3,3,4.7,47.2,15.7,27.1,93500,81712,62793,55511,25.4,6.3,13.3,20.3,13.8,15.3,33.8,1.6,3.1,93.7,0,0,0,1.6,76.4,6.9,4.6,0,7.1,5,542896,1.179,12410057,16201,11154156,51.5,36.5,12,1255901,5126794,0,12595329,10489403,13694,51.1,7.3,5.2,12.9,23.4,5364175,7003,34.1,15.4,4.9,1.2,4.1,1.7,5,0,0,31.1,500 to 999,Rural,"$523,458 to < $547,824",$1.0600 to under $1.1800
MULESHOE ISD,009901,009 BAILEY,17,4,1345,0.4,87.3,11.6,0.1,0.4,0.1,0.1,89.6,33.8,14.3,33.7,30.9,2.8,94.1,0,98.8,100,98.7,81,75,69,39,14,71,44,13,66,34,12,73,37,14,66,42,21,60,60,0,67,36,11,85,66,33,-1,-1,-1,100,100,88,,,,-1,-1,-1,65,34,10,85.2,14.5,917,18.8,226.9,114,1.8,3.8,6.8,50.3,19.6,17.9,113319,78035,55592,47094,53,5.9,11.8,49.8,10.4,15.1,21.5,0,39.5,59.6,0,0,0,0.9,61.2,10,15.5,2.5,7.4,3.4,244156,1.238,22485245,16693,21391099,56.8,18.5,24.7,1094146,5182287,0,21394757,19078392,14164,55.9,6,5.2,12.8,20.1,10659321,7913,25.8,11.6,19.6,2.2,5.1,0.1,3.8,0,0,26.4,"1,000 to 1,599",Non-metropolitan Stable,"$191,241 to < $251,917",$1.1800 to under $1.3001
MEDINA ISD,010901,010 BANDERA,20,1,245,3.7,29.8,62.9,0,0,0,3.7,65.7,1.2,14.7,1.2,29.4,6.5,93.2,2.3,100,96.2,95,19,15,83,52,14,85,58,21,82,43,10,76,54,2,87,57,13,50,0,0,77,49,14,86,56,14,,,,,,,,,,-1,-1,-1,80,50,11,26.3,60,1144,-1,73.3,35.5,2,2.2,7.4,48.5,18.1,21.8,82000,84929,50395,46506,25.8,3.3,6.9,58.5,9.5,16.9,39.5,0,25.3,69.1,0,0,0,5.6,58,8.8,14.5,0.3,12.2,6.2,1100978,1.186,5194007,19600,4588316,15.2,65.6,19.2,605691,571985,0,5416301,4908879,18524,51.2,10.9,5.8,13.6,18.5,2513406,9485,35.9,8.1,8.8,0.2,6.8,0.2,4.3,0,0,34,Under 500,Rural,"$1,048,130 to < $1,147,749",$1.1800 to under $1.3001
BANDERA ISD,010902,010 BANDERA,20,4,2375,0.5,33.9,62.2,0.2,0.4,0,2.7,56.2,5.6,16.9,5.4,30.5,5.6,92.4,1.4,89.6,83.7,92.8,151,115,74,44,15,76,50,16,72,36,12,77,46,13,74,44,22,47,12,6,70,36,10,77,48,17,80,60,0,89,50,33,-1,-1,-1,74,52,15,67,34,9,76.2,24.3,975,21.3,316.2,152.4,2.2,3.7,6.2,48.2,11.7,28,96410,81871,68257,56939,16.7,7.5,15.6,30,12.2,25.9,19.6,1.3,10.8,87.3,0,0,0,0.7,73.7,9.9,6.8,0.1,5.5,4,899750,0.996,27603622,11996,25177043,15.9,70.1,14,2426579,5028830,0,25688294,22727727,9877,51.5,7.1,5.1,11.3,24.9,11714461,5091,36.1,12.6,7.7,0.4,4.6,0.4,3.8,0,1,29.6,"1,600 to 2,999",Non-metropolitan Stable,"$836,417 to < $989,691",Under $1.0600
BASTROP ISD,011901,011 BASTROP,13,14,12449,2.8,74.2,19.7,0.2,0.4,0.1,2.7,76.7,41.1,12.8,40.4,23.1,7.2,90.6,0.2,97.3,98.7,98.3,858,607,63,34,10,62,35,9,61,30,10,67,34,10,68,38,16,55,24,5,59,28,7,81,56,23,84,47,11,97,69,30,67,27,7,71,43,18,59,28,8,71.8,15.7,907,20.5,1424.9,783.3,1.2,4.3,11.3,55,19.1,9.1,132608,82355,68746,56432,35.6,8.7,15.9,44.9,10.5,21.4,26.1,6.3,22.4,68.4,0.1,0.8,0,2,57.5,12.4,9.4,8.3,4.5,7.9,462108,1.273,157766184,13206,135361217,44,37.6,18.4,22404967,25875515,0,158836847,125804595,10530,57.2,4.7,5.3,10.1,22.7,71932510,6021,37.2,15.2,13.5,1.5,2.9,0.3,1.4,0,0.1,24.7,"10,000 to 24,999",Other Central City,"$437,254 to < $466,931",$1.1800 to under $1.3001
ELGIN ISD,011902,011 BASTROP,13,7,5389,9.2,75.9,11.5,0.1,0.3,0.2,2.7,80.3,44.8,13.2,46.9,26.7,8.4,90.9,2.2,90.3,94,93.7,337,326,60,28,7,62,33,8,56,18,5,59,24,6,70,38,14,55,20,4,58,25,6,77,49,18,75,42,0,88,69,44,73,47,47,67,29,5,56,23,5,47.2,11.3,935,17.4,767.9,306.7,1.7,3.9,13.1,39.9,15.4,26,113459,79540,66268,56673,46.9,7,17.6,54.5,7.9,19.8,32.4,8.2,29.9,61.3,0.3,0,0,0.3,71.2,8.5,2.8,10.6,5.8,1.1,392107,1.429,75519492,15149,65249418,48.6,31.2,20.3,10270074,21138626,0,83307442,59015431,11839,51.6,9.5,7,9.9,22,30473016,6113,38.6,11.7,12,1.5,3.1,0.5,2,0,0.7,26.5,"5,000 to 9,999",Other Central City Suburban,"$355,840 to < $399,525",$1.3001 and over
SMITHVILLE ISD,011904,011 BASTROP,13,4,1879,5.9,35.2,53.8,0.1,0.6,0.1,4.4,54.6,9.5,14.5,8.9,22.7,6.8,92.4,1.1,95.8,95.3,96.8,146,93,73,44,16,74,48,17,72,41,13,74,45,14,68,43,21,50,22,2,67,37,10,81,53,21,-1,-1,-1,81,81,50,-1,-1,-1,55,33,12,64,32,8,39,24.6,1012,20.9,265.2,128.7,1.9,3.2,8.4,48.5,16.4,21.7,108789,79015,59998,53865,19.8,7.1,14.6,24.1,12.7,22.5,18,4.3,11.7,82.5,0,0,0,1.6,73.8,11.5,10.1,0.3,4,0.3,629198,1.2,25474904,14312,22753440,33.1,51.3,15.6,2721464,5921049,0,25632425,22025356,12374,52,7.2,5.2,12.7,22.9,11450624,6433,40.2,13,7.6,0.2,3.3,0.1,3.4,0,0.6,30,"1,600 to 2,999",Other Central City Suburban,"$604,829 to < $640,713",$1.1800 to under $1.3001
MCDADE ISD,011905,011 BASTROP,13,2,355,0.3,56.3,40.3,0,0,0.6,2.5,51.8,23.7,16.3,23.1,25.1,5.1,93.7,0,100,100,,16,13,70,35,9,71,38,8,66,33,10,69,32,6,77,37,14,-1,-1,-1,62,27,6,80,46,15,-1,-1,-1,,,,-1,-1,-1,100,47,13,63,28,6,87.5,35.7,1001,,67.3,31.5,3,0.2,1.9,46.8,22.1,26,80903,71406,41119,53015,25.2,5.3,11.3,42.6,11.3,21.7,20.8,0,6.4,90.6,3,0,0,0,89.4,1.9,0,0,8.6,0,465319,0.938,5570354,17462,5317814,53.2,25.2,21.7,252540,2618588,0,4944853,4300827,13482,56.2,15.8,4.1,9.4,14.5,2416060,7574,39.5,8.5,9.5,0.3,3.3,0.4,1.8,0,0.6,33.8,Under 500,Rural,"$437,254 to < $466,931",Under $1.0600
SEYMOUR ISD,012901,012 BAYLOR,09,3,642,2,23.8,65.7,0.3,0.2,0,7.9,61.5,1.4,19.8,1.4,25.9,3,93.1,0.6,100,97.7,100,37,37,90,63,29,90,69,30,92,64,30,79,48,17,92,51,29,94,44,6,84,58,29,92,68,30,-1,-1,-1,,,,,,,76,35,20,85,56,24,97.3,33.3,-1,20.9,108.1,54.9,0.9,1.8,5.5,50.7,16.2,24.8,104000,78750,54135,50546,12.4,5.9,11.7,28.5,12.9,16.4,8.3,1.8,7.1,91.1,0,0,0,0,81.7,5.4,3.5,0,9.3,0,562918,0.952,10200658,16506,9772843,44.7,39.7,15.6,427815,6235862,0,9227719,8510181,13771,52.1,10.7,5.2,10.4,21.5,4429804,7168,32.5,5.5,16.1,0,6.1,0.1,6.9,0,0,30.7,500 to 999,Rural,"$547,824 to < $574,353",Under $1.0600
ST MARY'S ACADEMY CHARTER SCHOOL,013801,013 BEE,02,1,381,1,84,11.3,0,1.8,0,1.8,85,2.9,14.2,2.9,0,7.3,94.4,,,,,,,78,39,12,84,43,12,73,36,8,73,34,24,,,,83,17,0,77,37,11,80,49,26,,,,89,78,11,-1,-1,-1,100,33,0,76,35,7,,,,,69.9,23.4,2.1,2.4,12.5,33.6,23.8,25.6,85935,70841,66985,57600,69.2,5.5,16.2,16.7,15.3,12.4,20.1,0,41.7,54.1,0,4.2,0,0,82.8,5.5,9.5,1.5,0,0.7,0,0,6460442,16111,6460442,63,1.4,35.6,0,0,1418322,5293398,5253925,13102,47.6,17.2,5.9,12.6,16.5,2500504,6236,38.8,5.2,15.4,0.1,0,0.6,0,0,0,36.4,Under 500,Charters,Non-taxing entities,Non-taxing entities
BEEVILLE ISD,013901,013 BEE,02,5,3072,2,85.3,11.4,0.1,0.2,0,1,81.7,2.5,14.2,2.5,16,5.1,89.4,1,89.9,89.8,96.4,194,180,70,38,12,72,43,13,68,32,11,74,40,10,65,37,16,64,45,11,68,35,10,84,60,26,88,63,13,-1,-1,-1,-1,-1,-1,78,51,22,68,35,10,51.5,9,908,17.6,464.6,184.2,1.3,3.6,9.5,39.7,14.3,31.7,121224,91595,72870,57491,67.4,6.6,16.7,40.2,10.4,20.5,17.2,1.1,56.5,40.3,0.5,1.6,0,0,79.4,9.1,0,0,10.9,0.5,276646,1.192,46001635,15354,44405613,50.1,22.3,27.6,1596022,14971592,0,51077969,38968727,13007,50.9,10.4,4.9,13.7,20.2,19823628,6617,37.7,10.3,9,0.3,4.6,0.2,3.3,0,0.5,32.1,"3,000 to 4,999",Independent Town,"$251,917 to < $316,888",$1.1800 to under $1.3001
PAWNEE ISD,013902,013 BEE,02,1,464,19.4,62.9,14.9,0,0,0.9,1.9,89,0.6,5.6,0.4,2.2,0.9,93.3,,,,,,,74,52,17,77,57,22,72,47,18,71,50,4,78,67,22,,,,66,41,16,90,75,21,,,,,,,,,,,,,63,37,12,,,,,134.4,23.3,0.7,5.1,3.6,17.3,35.4,37.8,140000,84388,74386,60224,61.4,3.5,19.9,63.5,6.2,32.1,46.7,4.2,17.2,78.6,0,0,0,0,59.8,0,38,0,2.2,0,637407,1.199,8992851,18058,8235358,14.6,68,17.4,757493,4251462,0,8935604,8102304,16270,58.8,10.5,5.2,7.6,17.9,4759707,9558,22.1,3.8,9.1,0,0,0.1,0.9,0,37.1,26.1,Under 500,Non-metropolitan Fast Growing,"$604,829 to < $640,713",$1.1800 to under $1.3001
PETTUS ISD,013903,013 BEE,02,2,400,1.8,62.3,35.5,0.3,0,0,0.3,69.5,1,13,1,32.8,4,92.7,0,100,100,94.4,23,16,72,41,14,77,44,16,70,40,15,70,34,4,66,38,10,50,6,0,70,38,12,81,51,20,,,,,,,,,,,,,70,35,12,17.4,-1,-1,-1,74.7,34.3,2,4.3,10.9,46,14.3,22.5,121556,82088,63955,55166,58.4,5.4,11.7,38.5,10,11.8,29.4,0,36.5,60.5,2.9,0,0,0,81.3,7.1,0,0,11.6,0,1465419,1.302,11016310,29221,7287304,4.3,66.1,29.6,3729006,1725492,0,8681609,6394798,16962,49.9,9.8,5.9,16.4,18,3188904,8459,31.8,11.1,9.6,0,5.4,0.6,3.9,0,0,36.3,Under 500,Rural,"$1,147,749 and over",$1.3001 and over
SKIDMORE-TYNAN ISD,013905,013 BEE,02,3,752,0.5,72.1,25.5,0.1,0.8,0.1,0.8,67.2,2.3,10.8,2.1,36.8,9.6,93.2,0.4,91.9,94.8,95.6,59,54,82,53,17,85,59,19,78,44,12,85,53,15,85,58,34,100,50,13,80,49,16,87,61,20,-1,-1,-1,85,85,31,-1,-1,-1,100,57,7,78,47,14,50.8,46.7,1151,22.7,134,69.1,2.2,2.9,4.5,51.6,13.4,25.4,97755,76807,65312,54742,52.2,5.6,10.9,26.1,13.6,18.7,27.2,2.9,34.8,60.8,0,1.4,0,0,76.1,6.4,8.4,0,9.1,0,295779,1.279,14083274,17940,12884459,56.4,29,14.6,1198815,4532082,0,16212898,11290247,14382,51,7.1,5.1,13.2,23.6,5760195,7338,34.5,10.5,9.1,0.3,5.2,1.3,5.6,0.2,0,31.8,500 to 999,Rural,"$251,917 to < $316,888",$1.1800 to under $1.3001
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),014801,014 BELL,20,9,1690,15.4,65.4,16,0.2,0.3,0.3,2.4,65.5,10.4,11.2,9.9,47,0,72.8,23.9,25.4,31.4,36.4,364,253,44,12,1,35,13,0,30,3,0,53,7,0,76,25,6,38,7,1,43,12,2,55,18,1,60,20,0,60,40,0,80,40,20,58,20,0,42,11,1,0.5,-1,-1,,144.9,56.4,6.2,5.1,14,38.9,20.7,15.2,92006,85131,71417,49513,59.6,11.7,30,42.8,12.6,31.6,48.3,20,26.3,53,0,0,0,0.7,73.3,12,0,3.5,11.1,0,0,0,20259262,12742,20259262,74.9,2.1,23.1,0,0,889942,17715199,17414476,10953,50,11,10.5,14.7,13.9,8697967,5470,35.7,8.5,19.9,0.4,8.4,0,0,0,0,26.3,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
PRIORITY CHARTER SCHOOLS,014803,014 BELL,12,4,751,19.8,32.8,34.8,0.3,2.8,1.1,8.5,63.8,5.7,15.3,5.9,11.6,6.1,93.3,1,93.9,87,100,33,29,67,36,12,74,45,14,62,26,9,60,27,8,73,45,20,60,28,12,62,32,10,73,41,13,,,,81,48,29,83,42,8,80,43,12,64,32,11,93.9,19.4,883,,125.4,58.1,4,7.3,8.4,46.3,14.7,19.3,96282,60548,60114,41789,37.2,6,12.9,69.5,6.1,37.3,51.7,29,6.9,58.2,1.7,1,1.5,1.7,87.7,8.6,0,0,3.7,0,0,0,10026332,11993,10026332,79.6,1.2,19.2,0,0,330046,9813617,9742825,11654,48.3,11.3,9,14.9,15.3,4709013,5633,37.3,8.1,10.9,0.6,0.2,0.3,0.6,0,3,36.3,500 to 999,Charters,Non-taxing entities,Non-taxing entities
ORENDA CHARTER SCHOOL,014804,014 BELL,12,5,1878,5.8,23,54.7,0.3,9.6,0.3,6.4,13.4,4,12.8,3,19.2,0,93.8,0,97.9,96.7,96.4,98,96,90,67,30,93,77,35,87,57,24,88,62,23,90,72,37,86,63,18,90,62,22,89,67,29,83,50,50,98,82,52,92,46,15,91,75,39,83,53,20,98,51,1118,22,189.7,113.5,2.6,3.8,10.9,59.8,11.6,11.2,95760,76477,62179,56857,23,9.9,16.5,46.9,9.1,26.2,26.3,8.5,9.5,79.4,0.8,1.8,0,0,84.8,10.9,2.6,0,1.7,0,0,0,22091500,11627,22091500,81.4,7,11.6,0,0,14455836,18237827,16569433,8721,52.5,11.7,5.7,17.6,11.3,8697379,4578,45.1,12.2,3.1,0.1,2.4,0,2.6,0,0,32.8,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
ACADEMY ISD,014901,014 BELL,12,4,1830,6,26.6,60.6,0.3,1,0.3,5.2,43.2,6.7,12.4,6.3,25.1,7.8,93.3,0.9,96.2,95.5,93.2,103,81,82,54,19,87,64,23,80,47,18,81,50,14,74,45,15,77,40,10,76,46,14,85,59,22,-1,-1,-1,93,71,36,83,33,0,81,53,21,74,41,12,67,31.9,990,-1,241.1,116.8,1.2,5.3,4.5,48.5,14.6,25.9,118660,73791,64680,53005,14.9,7.6,15.7,50.2,9.5,20.6,28.7,3.4,4.2,92.3,0,0,0,0,84.2,7.4,2.1,0,6.4,0,361232,1.367,20528402,11737,17348176,52.4,35.1,12.4,3180226,4372304,0,26735313,17955682,10266,56.1,4.8,6.7,11.2,21.3,10066424,5756,42.2,13.5,8.4,0.4,4.3,0.2,3.4,0,0,26.2,"1,600 to 2,999",Non-metropolitan Stable,"$355,840 to < $399,525",$1.3001 and over
BARTLETT ISD,014902,014 BELL,13,1,461,9.8,61,26.7,0,0.2,0,2.4,99.6,22.6,10.8,22.8,32.1,3.3,94.2,0,95.7,100,100,24,23,61,25,4,62,31,4,60,20,4,60,18,2,64,27,4,59,19,1,61,25,2,61,29,9,,,,-1,-1,-1,,,,67,17,0,61,25,4,70.8,11.8,852,,79.6,40.5,1.3,7.7,2.8,50.9,18.7,18.7,112000,72538,58918,53341,32.7,5.8,11.4,27.2,13.9,29.3,36.4,0,14.8,80.2,2.5,0,0,2.5,81.1,9.7,0,0,9.2,0,398648,1.15,7841165,19901,7413523,51.7,26.9,21.4,427642,2047671,0,7087585,6257475,15882,51.9,8.3,5.4,11.6,22.9,3244234,8234,24.8,6.9,16.1,0.8,5.1,0.1,5.2,0,0.4,36.7,Under 500,Non-metropolitan Fast Growing,"$355,840 to < $399,525",$1.0600 to under $1.1800
BELTON ISD,014903,014 BELL,12,18,13616,7.4,35.1,48.6,0.4,1.9,0.3,6.3,44,6.7,16.7,6.9,23.8,8.3,92.2,0.3,97.1,98.3,97.2,856,741,78,50,20,79,55,20,74,41,16,80,50,19,80,56,30,66,35,10,71,40,13,83,58,25,72,56,15,92,75,45,93,63,19,81,52,21,67,35,11,82,31.3,975,22.5,2033.6,974.5,1,3.7,9.4,47.9,9.6,28.4,131231,78392,69166,57660,27.7,6.7,14,39.8,9.9,24.6,20.5,3.8,13.5,78.8,0.3,0.4,0,3.1,74.6,9.4,6.3,2.9,5.1,1.7,344312,1.357,167338914,12584,147161530,53.7,32.3,14,20177384,34598558,0,173945295,148789735,11189,54,6.4,5.4,10,24.2,80313522,6040,45.6,13.8,5.5,0.4,3.7,0.8,3.4,0.1,0,24.5,"10,000 to 24,999",Other Central City Suburban,"$316,888 to < $355,840",$1.3001 and over
HOLLAND ISD,014905,014 BELL,12,3,634,2.4,26.8,67.8,0,0,0,3,41.2,3.3,13.4,3.3,31.9,7.1,94.9,0,100,100,100,50,49,91,68,29,88,69,27,93,68,31,92,69,26,89,64,33,71,29,8,89,63,22,92,73,33,,,,,,,,,,91,40,14,88,60,20,64,46.9,1078,-1,123.3,66.1,1.2,1.9,4.1,53.6,12.1,27.1,111060,77232,65489,54007,21.7,5.1,9.6,9.1,17,11.2,6.7,0,10.6,87.9,0,0,0,1.5,84.6,4.1,2.2,0,8.7,0.3,246502,1.192,10924339,16653,10223233,59.8,22.4,17.8,701106,2376044,0,11124252,9643279,14700,51.9,8.2,6.4,10.9,22.6,5003533,7627,34.6,18.1,7.7,0.2,5.6,0.7,3.2,0,0,26.7,500 to 999,Rural,"$191,241 to < $251,917",$1.1800 to under $1.3001
KILLEEN ISD,014906,014 BELL,12,54,43893,33.4,33.9,18.3,0.5,2.3,2.1,9.6,60.4,11.9,15.6,11.1,16.5,3.2,91.8,2.1,88,92.1,94,2323,1758,73,42,14,75,47,14,71,36,12,72,39,12,71,45,23,66,33,9,72,40,13,82,55,22,72,41,11,88,66,29,75,44,14,78,48,16,68,35,10,89.5,19.4,927,19.7,6269.8,2802.4,0.6,3.1,11.2,44.7,13.9,26.6,124767,85893,70413,63881,55,7,15.7,42.4,10,32.8,20,24.8,18,49.9,0.6,1.6,0.5,4.6,73,10.5,2.9,4.2,3.5,5.9,231301,1.043,538554111,12285,505296527,54.7,17.7,27.5,33257584,152516815,0,587624738,479606950,10940,55.4,4.8,5.6,10.8,23.4,265446001,6055,44.9,12.9,5.3,0.4,1.9,0.1,1.7,0,3,25.4,"25,000 to 49,999",Other Central City,"$191,241 to < $251,917",Under $1.0600
ROGERS ISD,014907,014 BELL,12,4,879,1,31.7,64.4,0.2,0.6,0,2,44.7,7.5,11.5,7.5,38.7,8.3,94.5,0,97.3,98.5,98.4,76,69,83,55,21,82,56,18,82,49,21,84,63,26,90,62,25,50,10,0,76,44,14,87,60,25,,,,-1,-1,-1,,,,83,63,20,75,41,12,28.9,36.4,1026,-1,137.7,71.9,2.9,4.4,9.4,52.2,12.1,19.1,79620,79370,60588,55434,16.8,6.4,12.2,23.3,13.1,16.5,26.4,1.4,8.2,89,0,1.4,0,0,75.6,7.7,7.9,0,8.5,0.3,258493,1.24,11888824,13313,10913980,68.3,21.9,9.8,974844,2908658,0,12926927,10584081,11852,52.1,8.5,5.8,13.8,19.9,5511429,6172,43.1,6.9,6.9,0.2,4.5,0.2,5.4,0,0.7,29.1,500 to 999,Rural,"$251,917 to < $316,888",$1.1800 to under $1.3001
SALADO ISD,014908,014 BELL,12,3,2333,1.4,25.3,68.5,0.1,0.3,0.3,4.2,27.8,6.1,10.6,6.1,24.9,6.7,94.2,0.4,99.3,99.4,100,158,136,83,57,21,84,60,21,82,53,20,85,57,23,84,57,23,67,33,3,76,43,13,86,63,24,-1,-1,-1,79,57,36,100,86,29,83,50,18,69,34,10,53.2,50,1095,23.9,283.7,150.2,1.4,3.5,5.5,52.9,14.9,21.8,122384,81236,70285,56540,14.2,8.2,15.5,23.8,13.5,23.2,20.2,0,7.3,92,0.7,0,0,0,66.7,9.7,4.3,1.7,3.9,13.6,556139,1.372,28869094,12928,22636687,34.1,54.7,11.2,6232407,6663438,0,29009084,21922065,9817,54.6,7.6,4.4,10.4,22.9,11967162,5359,42.9,11.6,5,0.2,3.3,0.5,6.1,0,0.8,27.2,"1,600 to 2,999",Other Central City Suburban,"$547,824 to < $574,353",$1.3001 and over
TEMPLE ISD,014909,014 BELL,12,16,8555,22.4,47.7,21.9,0.4,1.3,0.3,6,71.5,14.9,17.7,14.7,24.5,7.1,91.7,1.2,94,93.3,93.1,593,366,69,41,15,68,43,14,69,38,14,72,39,14,73,43,22,63,32,10,68,38,12,78,54,25,77,45,18,91,71,42,95,78,24,73,44,19,65,35,11,31.7,26.6,974,19.6,1321.5,617.2,1.7,4.1,14.4,46.7,13.4,19.7,113498,81034,62463,57609,35,6.5,13.9,45.4,9.1,24.9,28.7,10,13.3,73.2,1.3,1.1,0,1,70,10.4,4.6,5.1,5.3,4.7,501904,1.235,133440730,15895,118168725,37.5,40.7,21.8,15272005,28868527,0,122025910,102743130,12239,54.9,7.5,6.2,9.5,21.9,56394759,6718,39.9,15.1,11,0.9,2.9,0.2,2.4,0,1.4,25.2,"5,000 to 9,999",Other Central City Suburban,"$488,752 to < $523,458",$1.1800 to under $1.3001
TROY ISD,014910,014 BELL,12,5,1688,1.8,32.1,60.4,0.3,0.2,0.2,4.9,53.6,5.7,17.8,5.7,20.2,5.2,94.2,0,96.9,99.1,100,100,78,84,56,21,83,59,22,86,54,19,86,59,23,82,48,22,75,42,6,82,49,15,86,60,24,89,78,11,-1,-1,-1,-1,-1,-1,81,61,23,78,47,14,77,28.6,939,22.9,213.8,115.6,1.7,4.4,5.7,54.1,19.4,14.7,118727,81640,74214,54766,9,7.9,14.6,22.9,13,17.7,17.4,0,3.3,95.8,0,0,0.9,0,79.6,7.6,7.1,0.3,4.5,0.9,305854,1.204,20831205,12733,18517322,60.2,30.5,9.4,2313883,6184138,0,19862319,16624540,10162,54.3,5.1,5.8,9.1,25.7,9019018,5513,43.1,11.6,5.6,0.3,3.4,0.4,3.5,0,1.6,27.7,"1,600 to 2,999",Non-metropolitan Stable,"$251,917 to < $316,888",$1.1800 to under $1.3001
